year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2016,64,Kansas,Austin Peay,1,18.5,14,4,0.78,10,16,-3.3,0,3,0,224,"Des Moines, IA",TRUE,Kansas
2016,64,Colorado,UConn,8,8.7,4,8,0.33,75,9,13.5,4,7,0.36,51,"Des Moines, IA",FALSE,UConn
2016,64,Maryland,South Dakota State,5,13.3,6,8,0.43,35,12,6.3,0,1,0,221,"Spokane, WA",TRUE,Maryland
2016,64,California,Hawaii,4,11.8,4,5,0.44,72,13,2.9,1,2,0.33,163,"Spokane, WA",FALSE,Hawaii
2016,64,Arizona,Wichita State,6,14.8,2,5,0.29,78,11,14.4,3,3,0.5,103,"Providence, RI",FALSE,Wichita State
2016,64,Miami (FL),Buffalo,3,13.5,14,5,0.74,5,14,1.8,0,4,0,111,"Providence, RI",TRUE,Miami (FL)
2016,64,Iowa,Temple,7,12.9,8,8,0.5,19,10,5.9,5,7,0.42,54,"Brooklyn, NY",TRUE,Iowa
2016,64,Villanova,UNC Asheville,2,19.9,11,4,0.73,27,15,2.7,0,2,0,249,"Brooklyn, NY",TRUE,Villanova
2016,64,Oregon,Holy Cross,1,13,9,2,0.82,60,16,-7.7,0,2,0,260,"Spokane, WA",TRUE,Oregon
2016,64,Saint Joseph's,Cincinnati,8,8.7,7,4,0.64,80,9,13,5,5,0.5,68,"Spokane, WA",TRUE,Saint Joseph's
2016,64,Baylor,Yale,5,11.8,6,11,0.35,14,12,10.5,2,4,0.33,105,"Providence, RI",FALSE,Yale
2016,64,Duke,UNC Wilmington,4,15.6,8,11,0.42,8,13,4.3,0,1,0,176,"Providence, RI",TRUE,Duke
2016,64,Texas,Northern Iowa,6,9.6,7,9,0.44,4,11,6,6,3,0.67,91,"Oklahoma City, OK",FALSE,Northern Iowa
2016,64,Texas A&M,Green Bay,3,13,8,4,0.67,56,14,1.3,1,4,0.2,134,"Oklahoma City, OK",TRUE,Texas A&M
2016,64,Oregon State,VCU,7,6.8,3,8,0.27,42,10,10.6,1,7,0.13,88,"Oklahoma City, OK",FALSE,VCU
2016,64,Oklahoma,Cal State Bakersfield,2,14.9,13,6,0.68,2,15,2.2,0,2,0,285,"Oklahoma City, OK",TRUE,Oklahoma
2016,64,North Carolina,Florida Gulf Coast,1,18.7,14,5,0.74,11,16,-1,0,3,0,301,"Raleigh, NC",TRUE,North Carolina
2016,64,USC,Providence,8,7.3,3,7,0.3,63,9,7.4,7,8,0.47,30,"Raleigh, NC",FALSE,Providence
2016,64,Indiana,Chattanooga,5,15.8,9,5,0.64,59,12,4.2,1,2,0.33,239,"Des Moines, IA",TRUE,Indiana
2016,64,Kentucky,Stony Brook,4,16.2,6,4,0.6,41,13,8.1,1,3,0.25,214,"Des Moines, IA",TRUE,Kentucky
2016,64,Notre Dame,Michigan,6,11,9,9,0.5,6,11,10.4,4,12,0.25,25,"Brooklyn, NY",TRUE,Notre Dame
2016,64,West Virginia,Stephen F. Austin,3,16.5,6,9,0.4,13,14,9.5,1,2,0.33,275,"Brooklyn, NY",FALSE,Stephen F. Austin
2016,64,Wisconsin,Pittsburgh,7,9.8,9,7,0.56,18,10,12.3,6,9,0.4,26,"St. Louis, MO",TRUE,Wisconsin
2016,64,Xavier,Weber State,2,14.1,8,5,0.62,55,15,2.8,0,2,0,318,"St. Louis, MO",TRUE,Xavier
2016,64,Virginia,Hampton,1,18.6,15,6,0.71,1,16,-5.7,0,3,0,279,"Raleigh, NC",TRUE,Virginia
2016,64,Texas Tech,Butler,8,7.9,4,10,0.29,21,9,12.1,5,7,0.42,38,"Raleigh, NC",FALSE,Butler
2016,64,Purdue,Little Rock,5,15.9,9,7,0.56,37,12,8.1,1,1,0.5,152,"Denver, CO",FALSE,Little Rock
2016,64,Iowa State,Iona,4,12.8,5,10,0.33,7,13,4.2,0,2,0,138,"Denver, CO",TRUE,Iowa State
