year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2024,64,UConn,Stetson,-15,24.1,19,-1,0.9,-199,-785.6760771,"Brooklyn, NY",TRUE,UConn
2024,64,Florida Atlantic,Northwestern,-1,0.7,-4,-7,0.16,56,329.17282,"Brooklyn, NY",FALSE,Northwestern
2024,64,San Diego State,UAB,-7,7.4,2,3,0.08,-28,-838.2933972,"Spokane, WA",TRUE,San Diego State
2024,64,Auburn,Yale,-9,10.9,5,3,0.25,-46,-244.6920899,"Spokane, WA",FALSE,Yale
2024,64,Brigham Young,Duquesne,-5,7.6,5,4,0.14,-35,-22.92437255,"Omaha, NE",FALSE,Duquesne
2024,64,Illinois,Morehead State,-11,11.3,12,3,0.63,-262,-287.2175299,"Omaha, NE",TRUE,Illinois
2024,64,Washington State,Drake,-3,1.3,3,3,0,-54,984.1034466,"Omaha, NE",TRUE,Washington State
2024,64,Iowa State,South Dakota State,-13,17.2,13,6,0.65,-261,-77.21674506,"Omaha, NE",TRUE,Iowa State
2024,64,North Carolina,Wagner,-15,22.5,12,4,0.67,-298,-408.0865868,"Charlotte, NC",TRUE,North Carolina
2024,64,Mississippi State,Michigan State,-1,-2.7,0,-3,0.07,18,-84.66992724,"Charlotte, NC",FALSE,Michigan State
2024,64,Saint Mary's,Grand Canyon,-7,5,1,3,-0.24,-68,-294.2230277,"Spokane, WA",FALSE,Grand Canyon
2024,64,Alabama,Charleston,-9,10.7,8,10,0.4,-174,-353.6053345,"Spokane, WA",TRUE,Alabama
2024,64,Clemson,New Mexico,-5,3.8,6,1,0.22,-66,-535.9381277,"Memphis, TN",TRUE,Clemson
2024,64,Baylor,Colgate,-11,11.3,11,7,0.52,-224,-452.5607959,"Memphis, TN",TRUE,Baylor
2024,64,Dayton,Nevada,-3,2.7,-1,-2,0.02,-13,1032.021685,"Salt Lake City, UT",TRUE,Dayton
2024,64,Arizona,Long Beach State,-13,18.8,9,3,0.64,-160,7.375001609,"Salt Lake City, UT",TRUE,Arizona
2024,64,Houston,Longwood,-15,22,16,3,0.76,-239,-177.2632017,"Memphis, TN",TRUE,Houston
2024,64,Nebraska,Texas A&M,-1,-0.8,-3,1,-0.15,44,55.02417754,"Memphis, TN",FALSE,Texas A&M
2024,64,Wisconsin,James Madison,-7,4.4,8,8,-0.14,-220,507.902372,"Brooklyn, NY",FALSE,James Madison
2024,64,Duke,Vermont,-9,11.7,8,5,0.53,-147,152.1749206,"Brooklyn, NY",TRUE,Duke
2024,64,Texas Tech,NC State,-5,1.6,0,-1,0.03,7,969.2700321,"Pittsburgh, PA",FALSE,NC State
2024,64,Kentucky,Oakland,-11,10,6,1,0.37,-69,66.79699618,"Pittsburgh, PA",FALSE,Oakland
2024,64,Florida,Colorado,-3,2.4,1,3,-0.08,-42,-281.2473841,"Indianapolis, IN",FALSE,Colorado
2024,64,Marquette,Western Kentucky,-13,14.7,12,7,0.6,-272,51.50318503,"Indianapolis, IN",TRUE,Marquette
2024,64,Purdue,Grambling State,-15,26.7,17,-1,0.77,-187,-559.0701122,"Indianapolis, IN",TRUE,Purdue
2024,64,Utah State,TCU,-1,-4,-1,-6,0.18,54,559.0979039,"Indianapolis, IN",TRUE,Utah State
2024,64,Gonzaga,McNeese State,-7,6.4,3,5,0.33,-242,-730.1176208,"Salt Lake City, UT",TRUE,Gonzaga
2024,64,Kansas,Samford,-9,7,10,6,0.56,-262,-576.5248348,"Salt Lake City, UT",TRUE,Kansas
2024,64,South Carolina,Oregon,-5,-0.3,3,-3,0.25,-2,-1751.946557,"Pittsburgh, PA",FALSE,Oregon
2024,64,Creighton,Akron,-11,12.4,8,6,0.53,-158,749.5783485,"Pittsburgh, PA",TRUE,Creighton
2024,64,Texas,Colorado State,-3,4.8,1,4,-0.07,-61,-329.2050235,"Charlotte, NC",TRUE,Texas
2024,64,Tennessee,Saint Peter's,-13,20.3,11,7,0.58,-244,-346.8079157,"Charlotte, NC",TRUE,Tennessee
2024,32,UConn,Northwestern,-8,12.4,12,-7,0.46,-20,-600.1716247,"Brooklyn, NY",TRUE,UConn
2024,32,San Diego State,Yale,-8,3.5,2,3,0.08,-32,-1181.862682,"Spokane, WA",TRUE,San Diego State
2024,32,Duquesne,Illinois,8,-10.4,-10,-3,-0.3,69,426.3427371,"Omaha, NE",FALSE,Illinois
2024,32,Washington State,Iowa State,5,-8.1,-8,-2,-0.15,59,976.2969616,"Omaha, NE",FALSE,Iowa State
2024,32,North Carolina,Michigan State,-8,3.2,7,-6,0.38,6,-444.7680852,"Charlotte, NC",TRUE,North Carolina
2024,32,Grand Canyon,Alabama,8,-7.2,-6,-11,0.27,175,-832.3947513,"Spokane, WA",FALSE,Alabama
2024,32,Clemson,Baylor,3,-2.2,-2,-4,0.08,21,-77.15306103,"Memphis, TN",TRUE,Clemson
2024,32,Dayton,Arizona,5,-6.7,-7,-2,-0.24,29,859.5556594,"Salt Lake City, UT",FALSE,Arizona
2024,32,Houston,Texas A&M,-8,11.5,8,-2,0.23,-3,2.632638923,"Memphis, TN",TRUE,Houston
2024,32,James Madison,Duke,8,-9,-6,-6,0.14,179,-116.1658584,"Brooklyn, NY",FALSE,Duke
2024,32,NC State,Oakland,-3,7.5,6,5,0.24,-104,101.8639979,"Pittsburgh, PA",TRUE,NC State
2024,32,Colorado,Marquette,8,-5.6,-6,-3,-0.05,65,765.8764531,"Indianapolis, IN",FALSE,Marquette
2024,32,Purdue,Utah State,-7,12.9,12,1,0.21,-90,-1286.353366,"Indianapolis, IN",TRUE,Purdue
2024,32,Gonzaga,Kansas,1,2.2,-7,-2,-0.23,78,-343.6047877,"Salt Lake City, UT",TRUE,Gonzaga
