school,location,lat,lng
Abilene Christian,"Abilene, TX",32.4543,-99.7384
Air Force,"Colorado Springs, CO",38.8674,-104.7605
Akron,"Akron, OH",41.0798,-81.5219
Alabama,"Tuscaloosa, AL",33.2348,-87.5268
Alabama A&M,"Huntsville, AL",34.6981,-86.6412
Alabama State,"Montgomery, AL",32.3482,-86.2668
Albany,"Albany, NY",42.6664,-73.7987
Alcorn State,"Port Gibson, MS",31.9558,-90.9834
American University,"Washington, DC",38.9047,-77.0163
Appalachian State,"Boone, NC",36.2111,-81.6669
Arizona,"Tucson, AZ",32.1541,-110.8787
Arizona State,"Tempe, AZ",33.3881,-111.9319
Arkansas,"Fayetteville, AR",36.0714,-94.1661
Arkansas State,"Jonesboro, AR",35.8212,-90.6791
Arkansas-Pine Bluff,"Pine Bluff, AR",34.2116,-92.0173
Army West Point,"West Point, NY",41.3645,-74.0123
Auburn,"Auburn, AL",32.6087,-85.4903
Austin Peay,"Clarksville, TN",36.5692,-87.3413
Ball State,"Muncie, IN",40.1989,-85.395
Baylor,"Waco, TX",31.5599,-97.1882
Bellarmine,"Louisville, KY",38.1663,-85.6485
Belmont,"Nashville, TN",36.1715,-86.7842
Bethune-Cookman,"Daytona Beach, FL",29.1995,-81.0982
Binghamton,"Binghamton, NY",42.1014,-75.9093
Boise State,"Boise, ID",43.6005,-116.2308
Boston College,"Newton, MA",42.3316,-71.2085
Boston University,"Boston, MA",42.3188,-71.0852
Bowling Green,"Bowling Green, OH",41.3776,-83.6495
Bradley,"Peoria, IL",40.752,-89.6154
Brigham Young,"Provo, UT",40.2457,-111.6457
Brown,"Providence, RI",41.823,-71.4187
Bryant,"Woonsocket, RI",42.001,-71.4993
Bucknell,"Lewisburg, PA",40.9641,-76.8901
Buffalo,"Buffalo, NY",42.9018,-78.8487
Butler,"Indianapolis, IN",39.7771,-86.1458
Cal Poly,"San Luis Obispo, CA",35.2669,-120.669
Cal State Bakersfield,"Bakersfield, CA",35.3529,-119.0359
Cal State Fullerton,"Fullerton, CA",33.8841,-117.9279
Cal State Northridge,"San Fernando, CA",34.2886,-118.4362
California,"Berkeley, CA",37.8722,-122.276
California Baptist,"Riverside, CA",33.9381,-117.3949
Campbell,"Buies Creek, NC",35.4082,-78.7414
Canisius,"Buffalo, NY",42.9018,-78.8487
Central Arkansas,"Conway, AR",35.0753,-92.4692
Central Connecticut State,"New Britain, CT",41.6759,-72.7862
Central Michigan,"Mount Pleasant, MI",43.5966,-84.7759
Charleston,"Charleston, SC",32.8168,-79.9687
Charleston Southern,"Charleston, SC",32.8168,-79.9687
Charlotte,"Charlotte, NC",35.2083,-80.8303
Chattanooga,"Chattanooga, TN",35.066,-85.2481
Chicago State,"Chicago, IL",41.8375,-87.6866
Cincinnati,"Cincinnati, OH",39.1413,-84.506
Clemson,"Clemson, SC",34.6837,-82.8124
Cleveland State,"Cleveland, OH",41.4764,-81.6805
Coastal Carolina,"Conway, SC",33.8401,-79.0431
Colgate,"Earlville, NY",42.7401,-75.5436
Colorado,"Boulder, CO",40.0248,-105.2524
Colorado State,"Fort Collins, CO",40.5477,-105.0656
Columbia,"New York, NY",40.6943,-73.9249
Coppin State,"Baltimore, MD",39.3051,-76.6144
Cornell,"Ithaca, NY",42.4442,-76.5032
Creighton,"Omaha, NE",41.2627,-96.0529
Dartmouth,"Lebanon, NH",43.6353,-72.2531
Davidson,"Davidson, NC",35.484,-80.8247
Dayton,"Dayton, OH",39.7805,-84.2003
DePaul,"Chicago, IL",41.8375,-87.6866
Delaware,"Newark, DE",39.6776,-75.7576
Delaware State,"Dover, DE",39.161,-75.5202
Denver,"Denver, CO",39.762,-104.8758
Detroit-Mercy,"Detroit, MI",42.3834,-83.1024
Drake,"Des Moines, IA",41.5725,-93.6105
Drexel,"Philadelphia, PA",40.0077,-75.1339
Duke,"Durham, NC",35.9792,-78.9022
Duquesne,"Pittsburgh, PA",40.4397,-79.9763
East Carolina,"Greenville, NC",35.5943,-77.376
East Tennessee State,"Johnson City, TN",36.3406,-82.3806
East Texas A&M,"Commerce, TX",33.2421,-95.8992
Eastern Illinois,"Charleston, IL",39.4842,-88.1781
Eastern Kentucky,"Richmond, KY",37.7307,-84.2925
Eastern Michigan,"Ypsilanti, MI",42.244,-83.6208
Eastern Washington,"Cheney, WA",47.4901,-117.579
Elon,"Elon, NC",36.1016,-79.5086
Evansville,"Evansville, IN",37.9881,-87.5341
Fairfield,"Fairfield University, CT",41.159,-73.2571
Fairleigh Dickinson,"Hackensack, NJ",40.8891,-74.0462
Florida,"Gainesville, FL",29.6804,-82.3459
Florida A&M,"Tallahassee, FL",30.4551,-84.2527
Florida Atlantic,"Boca Raton, FL",26.3752,-80.108
Florida Gulf Coast,"Fort Myers, FL",26.6194,-81.8302
Florida International,"Miami, FL",25.784,-80.2101
Florida State,"Tallahassee, FL",30.4551,-84.2527
Fordham,"Bronx, NY",40.8501,-73.8662
Fort Wayne,"Fort Wayne, IN",41.0888,-85.1436
Fresno State,"Fresno, CA",36.783,-119.7939
Furman,"Greenville, SC",34.8354,-82.3646
Gardner-Webb,"Boiling Springs, NC",35.2522,-81.6636
George Mason,"Fairfax, VA",38.8531,-77.2997
George Washington,"Washington, DC",38.9047,-77.0163
Georgetown,"Washington, DC",38.9047,-77.0163
Georgia,"Athens, GA",33.9508,-83.3689
Georgia Southern,"Statesboro, GA",32.4375,-81.7751
Georgia State,"Atlanta, GA",33.7628,-84.422
Georgia Tech,"Atlanta, GA",33.7628,-84.422
Gonzaga,"Spokane, WA",47.6671,-117.433
Grambling State,"Grambling, LA",32.5275,-92.7124
Grand Canyon,"Phoenix, AZ",33.5722,-112.0892
Green Bay,"Ashwaubenon, WI",44.4796,-88.0889
Hampton,"Hampton, VA",37.0551,-76.363
