team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
UConn,1,22.7,19,2,0.9,13
Stetson,16,-1.4,0,3,0,212
Florida Atlantic,8,11,3,2,0.6,89
Northwestern,9,10.3,7,9,0.44,33
San Diego State,5,11.1,3,6,0.33,75
UAB,12,3.7,1,3,0.25,103
Auburn,4,18.5,6,6,0.5,61
Yale,13,7.6,1,3,0.25,107
Brigham Young,6,13.5,7,8,0.47,52
Duquesne,11,5.9,2,4,0.33,87
Illinois,3,16.3,12,7,0.63,18
Morehead State,14,5,0,4,0,280
Washington State,7,10.1,5,5,0.5,80
Drake,10,8.8,2,2,0.5,134
Iowa State,2,18.2,13,7,0.65,21
South Dakota State,15,1,0,1,0,282
North Carolina,1,17,12,6,0.67,17
Wagner,16,-5.5,0,2,0,315
Mississippi State,8,11.1,5,9,0.36,29
Michigan State,9,13.8,5,12,0.29,11
Saint Mary's,5,14,3,4,0.43,109
Grand Canyon,12,9,2,1,0.67,177
Alabama,4,16.2,8,12,0.4,2
Charleston,13,5.5,0,2,0,176
Clemson,6,12.9,9,6,0.6,26
New Mexico,11,9.1,3,5,0.38,92
Baylor,3,15.1,11,10,0.52,5
Colgate,14,3.8,0,3,0,229
Dayton,7,11.5,2,3,0.4,82
Nevada,10,8.8,3,5,0.38,95
Arizona,2,18.2,9,5,0.64,53
Long Beach State,15,-0.6,0,2,0,213
Houston,1,23,16,5,0.76,12
Longwood,16,1,0,2,0,251
Nebraska,8,10.7,5,8,0.38,59
Texas A&M,9,11.5,8,7,0.53,15
Wisconsin,5,13.3,10,9,0.53,3
James Madison,12,8.9,2,1,0.67,223
Duke,4,17.9,8,7,0.53,44
Vermont,13,6.2,0,2,0,191
Texas Tech,6,11.7,7,9,0.44,35
NC State,11,10.1,7,10,0.41,28
Kentucky,3,12.6,7,6,0.54,63
Oakland,14,2.6,1,5,0.17,132
Florida,7,12.1,7,8,0.47,32
Colorado,10,9.7,6,5,0.55,74
Marquette,2,15.3,12,8,0.6,9
Western Kentucky,15,0.6,0,1,0,281
Purdue,1,20.3,17,5,0.77,1
Grambling State,16,-6.4,0,6,0,188
Utah State,8,7.4,5,4,0.56,91
TCU,9,11.4,6,10,0.38,37
Gonzaga,5,14.9,3,6,0.33,84
McNeese State,12,8.5,0,1,0,326
Kansas,4,12.7,10,8,0.56,6
Samford,13,5.7,0,2,0,268
South Carolina,6,8.6,7,5,0.58,71
Oregon,11,8.9,4,8,0.33,73
Creighton,3,16.8,8,7,0.53,25
Akron,14,4.4,0,1,0,183
Texas,7,12.7,6,10,0.38,24
Colorado State,10,7.9,5,6,0.45,85
Tennessee,2,18.1,11,8,0.58,10
Saint Peter's,15,-2.2,0,1,0,254
