"team","lat","lng","seed","bpi","qual_win","qual_loss","qual_win_perc","qual_rating","schdl_strngth"
"Auburn",32.6087,-85.4903,1,22.3,19,5,0.79,0.58,2
"Alabama State",32.3482,-86.2668,16,-6.7,0,3,0,-1,335
"Louisville",38.1663,-85.6485,8,14,6,6,0.5,0,36
"Creighton",41.2627,-96.0529,9,14.6,8,7,0.53,0.07,22
"Michigan",42.2759,-83.731,5,13.7,10,7,0.59,0.18,7
"UC San Diego",32.8313,-117.1222,12,9.6,1,0,1,1,230
"Texas A&M",30.5852,-96.2959,4,15.6,12,8,0.6,0.2,8
"Yale",41.3113,-72.9246,13,8.1,0,1,0,-1,158
"Ole Miss",34.3627,-89.5336,6,13.6,10,10,0.5,0,29
"North Carolina",35.9271,-79.0391,11,15.1,3,11,0.21,-0.57,24
"Iowa State",42.0256,-93.6217,3,18.7,7,6,0.54,0.08,30
"Lipscomb",36.1715,-86.7842,14,3.8,0,2,0,-1,319
"Marquette",43.0642,-87.9675,7,15.8,8,9,0.47,-0.06,15
"New Mexico",35.1054,-106.6465,10,10.8,5,3,0.63,0.25,87
"Michigan State",42.748,-84.4836,2,17.3,12,4,0.75,0.5,19
"Bryant",42.001,-71.4993,15,1.2,0,1,0,-1,297
"Florida",29.6804,-82.3459,1,20.1,14,4,0.78,0.56,32
"Norfolk State",36.8945,-76.259,16,-1.1,0,2,0,-1,323
"UConn",41.8083,-72.2514,8,16.4,9,7,0.56,0.13,42
"Oklahoma",35.2335,-97.3471,9,11.5,8,12,0.4,-0.2,48
"Memphis",35.1087,-89.9663,5,11.3,5,2,0.71,0.43,75
"Colorado State",40.5477,-105.0656,12,10.5,5,5,0.5,0,83
"Maryland",38.996,-76.9337,4,16.9,8,7,0.53,0.07,61
"Grand Canyon",33.5722,-112.0892,13,6.2,0,1,0,-1,243
"Missouri",38.9472,-92.3268,6,13.7,9,10,0.47,-0.05,65
"Drake",41.5725,-93.6105,11,7.6,0,0,0,0,142
"Texas Tech",33.5657,-101.8879,3,18.2,7,5,0.58,0.17,47
"UNC Wilmington",34.2099,-77.8866,14,3.5,0,1,0,-1,275
"Kansas",38.9597,-95.2642,7,16.9,6,9,0.4,-0.2,4
"Arkansas",36.0714,-94.1661,10,11.7,7,11,0.39,-0.22,43
"St. John's",40.7498,-73.7976,2,17.1,11,4,0.73,0.47,40
"Omaha",41.2627,-96.0529,15,-2.8,0,1,0,-1,247
"Duke",35.9792,-78.9022,1,24.8,10,3,0.77,0.54,37
"Mount St. Mary's",39.7051,-77.3217,16,-4.6,0,1,0,-1,313
"Mississippi State",33.4608,-88.8297,8,13.2,7,11,0.39,-0.22,16
"Baylor",31.5599,-97.1882,9,15.9,4,12,0.25,-0.5,14
"Oregon",44.0564,-123.1174,5,13.2,6,7,0.46,-0.08,12
"Liberty",37.4003,-79.1909,12,6.4,0,0,0,0,193
"Arizona",32.1541,-110.8787,4,18.2,8,10,0.44,-0.11,6
"Akron",41.0798,-81.5219,13,3.2,0,1,0,-1,273
"Brigham Young",40.2457,-111.6457,6,15.1,6,6,0.5,0,53
"VCU",37.5295,-77.4756,11,13.3,0,1,0,-1,104
"Wisconsin",43.0822,-89.393,3,16,9,8,0.53,0.06,18
"Montana",46.8751,-114.0214,14,-1.2,0,3,0,-1,237
"Saint Mary's",37.8439,-122.1225,7,13.7,2,3,0.4,-0.2,92
"Vanderbilt",36.1715,-86.7842,10,10,6,11,0.35,-0.29,58
"Alabama",33.2348,-87.5268,2,19.2,15,8,0.65,0.3,1
"Robert Morris",40.5187,-80.2178,15,-0.9,0,0,0,0,304
"Houston",29.786,-95.3885,1,23.8,11,3,0.79,0.57,9
"SIU-Edwardsville",38.7922,-89.9874,16,-4.6,0,1,0,-1,364
"Gonzaga",47.6671,-117.433,8,17.9,2,5,0.29,-0.43,82
"Georgia",33.9508,-83.3689,9,12.5,5,12,0.29,-0.41,57
"Clemson",34.6837,-82.8124,5,16.4,6,4,0.6,0.2,59
"McNeese State",30.201,-93.2111,12,8.3,0,2,0,-1,272
"Purdue",40.4432,-86.9238,4,15.7,7,9,0.44,-0.13,3
"High Point",35.991,-79.9937,13,6.8,0,0,0,0,302
"Illinois",40.1142,-88.2737,6,15.3,9,9,0.5,0,11
"Xavier",39.1413,-84.506,11,12.5,4,9,0.31,-0.38,53
"Kentucky",38.0423,-84.4587,3,16.1,11,10,0.52,0.05,10
"Troy",31.8021,-85.9664,14,3.6,0,3,0,-1,203
"UCLA",34.1141,-118.4068,7,14.4,8,7,0.53,0.07,50
"Utah State",41.7399,-111.8422,10,11.5,2,3,0.4,-0.2,91
"Tennessee",35.9692,-83.9496,2,19.4,14,6,0.7,0.4,17
"Wofford",34.9442,-81.9251,15,0.9,0,1,0,-1,175
